ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
3258	Uzbek	tremble	t i t r a m ɒ q	titramɒq	1 7 1 5 7 4 7 1	AXBCYBYN	TITRAMOK	8	8.T.C 8.I.V 8.T.C 8.R.C 8.A.V 8.M.C 8.O.V 8.K.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	1385
4386	Kazakh	tremble	q ɑ l ʃ	qɑlʃ	1 7 5 3	AXLN	KALS	3	3.K.C 3.A.V 3.L.c 3.S.c	2.0 1.5 1.1 0.8	0	1385
4387	Kazakh	tremble	q ɑ l ʃ ə l d ɑ t u	qɑlʃəldɑtu	1 7 5 3 7 5 1 7 1 7	AXMBYMBYBZ	KALSELTATY	3	3.K.C 3.A.V 3.L.c 3.S.C 3.E.V 3.L.c 3.T.C 3.A.V 3.T.C 3.Y.V	2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.3 1.75 0.8	0	1385
5582	Chuvash	tremble	tɕ ɘ t r ɛ	t͡ɕɘtˈrɛ	2 7 1 5 7	AXBCZ	CETRE	2	2.C.C 2.E.V 2.T.C 2.R.C 2.E.V	2.0 1.5 1.75 1.5 0.8	0	1385
6636	Yakut	tremble	t i t i ɾ eː	titiɾeː	1 7 1 7 5 7	AXBYBZ	TITIRE	9	9.T.C 9.I.V 9.T.C 9.I.V 9.R.C 9.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1385
6637	Yakut	tremble	ɟ i g i h i j	ɟiɡihij	1 7 1 7 3 7 6	AXBYBYN	CIKIHIJ	9	9.C.C 9.I.V 9.K.C 9.I.V 9.H.C 9.I.V 9.J.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1385
789	Turkish	trousers	p a n t o l o n	pantolon	1 7 4 1 7 5 7 4	AXMBYBYN	PANTULUN	5	5.P.C 5.A.V 5.N.c 5.T.C 5.U.V 5.L.C 5.U.V 5.N.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	1386
1925	Azerbaijani	trousers	ʃ ɑ l v ɑ r	ʃɑlvɑr	3 7 5 3 7 5	AXMBYN	SALBAR	1	1.S.C 1.A.V 1.L.c 1.B.C 1.A.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1386
2944	Uzbek	trousers	ʃ i m	ʃim	3 7 4	AXN	SIM	8	8.S.C 8.I.V 8.M.c	2.0 1.5 0.8	0	1386
3970	Kazakh	trousers	ʃ ɑ l b ɑ ɾ	ʃɑlbɑɾ	3 7 5 1 7 5	AXMBYN	SALPAR	3	3.S.C 3.A.V 3.L.c 3.P.C 3.A.V 3.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1386
