language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag,domain
Azerbaijani,boss,ʃɛf,ʃ ɛ f,A_oghuz,northeuralex,-0.9605,-0.9605,True,True,unknown,False,social_political
Turkish,cock,hoɾoz,h o ɾ o z,A_oghuz,northeuralex,-0.9567,-0.9567,True,True,unknown,False,fauna
Turkish,fat,jaː,j aː,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False,food_drink
Turkish,oil,jaː,j aː,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False,food_drink
Azerbaijani,willow,sœjyd,s œ j y d,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False,flora
Azerbaijani,hungry,ɑd͡ʒ,ɑ dʒ,A_oghuz,northeuralex,-0.9511,-0.9511,True,True,unknown,False,other
Azerbaijani,trunk,ɟœvdæ,ɟ œ v d æ,A_oghuz,northeuralex,-0.9474,-0.9474,True,True,unknown,False,flora
Turkish,thought,dyʃynd͡ʒɛ,d y ʃ y n dʒ ɛ,A_oghuz,northeuralex,-0.9473,-0.9473,True,True,unknown,False,cognitive_abstract
Azerbaijani,shoulder,t͡ʃɪjɪn,tʃ ɪ j ɪ n,A_oghuz,northeuralex,-0.9438,-0.9438,True,True,unknown,False,body_parts
Azerbaijani,pattern,ylɟy,y l ɟ y,A_oghuz,northeuralex,-0.941,-0.941,True,True,unknown,False,spatial_temporal
Azerbaijani,bad,pɪs,p ɪ s,A_oghuz,northeuralex,-0.9399,-0.9399,True,True,unknown,False,other
Turkish,milk,syt,s y t,A_oghuz,northeuralex,-0.9387,-0.9387,True,True,unknown,False,herding_pastoralism
Azerbaijani,item,ʃɛj,ʃ ɛ j,A_oghuz,northeuralex,-0.9376,-0.9376,True,True,unknown,False,spatial_temporal
Azerbaijani,thing,ʃɛj,ʃ ɛ j,A_oghuz,northeuralex,-0.9376,-0.9376,True,True,unknown,False,spatial_temporal
Azerbaijani,border,hydud,h y d u d,A_oghuz,northeuralex,-0.9368,-0.9368,True,True,unknown,False,social_political
Azerbaijani,at that time,ɔ_vɑχt,ɔ + v ɑ χ t,A_oghuz,northeuralex,-0.9364,-0.9364,True,True,unknown,False,spatial_temporal
Azerbaijani,pole,ʃyvyl,ʃ y v y l,A_oghuz,northeuralex,-0.9359,-0.9359,True,True,unknown,False,other
Azerbaijani,staff,ʃyvyl,ʃ y v y l,A_oghuz,northeuralex,-0.9359,-0.9359,True,True,unknown,False,other
Turkish,sad,yzyntyly,y z y n t y l y,A_oghuz,northeuralex,-0.9345,-0.9345,True,True,unknown,False,other
Turkish,face,jyz,j y z,A_oghuz,northeuralex,-0.9326,-0.9326,True,True,unknown,False,body_parts
Azerbaijani,breast,dœʃ,d œ ʃ,A_oghuz,northeuralex,-0.9326,-0.9326,True,True,unknown,False,body_parts
Turkish,hill,tɛpɛ,t ɛ p ɛ,A_oghuz,northeuralex,-0.9295,-0.9295,True,True,unknown,False,natural_world
Azerbaijani,knot,dyjyn,d y j y n,A_oghuz,northeuralex,-0.9274,-0.9274,True,True,unknown,False,material_culture
Turkish,window,pɛnd͡ʒɛɾɛ,p ɛ n dʒ ɛ ɾ ɛ,A_oghuz,northeuralex,-0.9257,-0.9257,True,True,unknown,False,natural_world
Azerbaijani,work,ɪʃ,ɪ ʃ,A_oghuz,northeuralex,-0.9252,-0.9252,True,True,unknown,False,cognitive_abstract
Azerbaijani,matter,ɪʃ,ɪ ʃ,A_oghuz,northeuralex,-0.9252,-0.9252,True,True,unknown,False,cognitive_abstract
Azerbaijani,thought,dyʃynd͡ʒæ,d y ʃ y n dʒ æ,A_oghuz,northeuralex,-0.9204,-0.9204,True,True,unknown,False,cognitive_abstract
Azerbaijani,sleep,juχu,j u χ u,A_oghuz,northeuralex,-0.9199,-0.9199,True,True,unknown,False,body_parts
Turkish,speech,sœjlɛv,s œ j l ɛ v,A_oghuz,northeuralex,-0.9184,-0.9184,True,True,unknown,False,cognitive_abstract
Turkish,pot,tɛnd͡ʒɛɾɛ,t ɛ n dʒ ɛ ɾ ɛ,A_oghuz,northeuralex,-0.9169,-0.9169,True,True,unknown,False,material_culture
Turkish,chin,t͡ʃɛnɛ,tʃ ɛ n ɛ,A_oghuz,northeuralex,-0.9168,-0.9168,True,True,unknown,False,body_parts
Turkish,jaw,t͡ʃɛnɛ,tʃ ɛ n ɛ,A_oghuz,northeuralex,-0.9168,-0.9168,True,True,unknown,False,body_parts
Azerbaijani,tooth,dɪʃ,d ɪ ʃ,A_oghuz,northeuralex,-0.916,-0.916,True,True,unknown,False,body_parts
Turkish,noon,œjlɛ,œ j l ɛ,A_oghuz,northeuralex,-0.9158,-0.9158,True,True,unknown,False,spatial_temporal
Turkish,so,œjlɛ,œ j l ɛ,A_oghuz,northeuralex,-0.9158,-0.9158,True,True,unknown,False,other
Turkish,palm,avut͡ʃ,a v u tʃ,A_oghuz,northeuralex,-0.9156,-0.9156,True,True,unknown,False,body_parts
Turkish,fault,sut͡ʃ,s u tʃ,A_oghuz,northeuralex,-0.9152,-0.9152,True,True,unknown,False,other
Azerbaijani,seven,jɛdːɪ,j ɛ dː ɪ,A_oghuz,northeuralex,-0.9149,-0.9149,True,True,unknown,False,other
Turkish,wood,aːat͡ʃ,aː a tʃ,A_oghuz,northeuralex,-0.9141,-0.9141,True,True,unknown,False,other
Turkish,meat,ɛt,ɛ t,A_oghuz,northeuralex,-0.9141,-0.9141,True,True,unknown,False,food_drink
Azerbaijani,milk,syd,s y d,A_oghuz,northeuralex,-0.9124,-0.9124,True,True,unknown,False,herding_pastoralism
Turkish,raw,t͡ʃij,tʃ i j,A_oghuz,northeuralex,-0.9122,-0.9122,True,True,unknown,False,other
Turkish,fur,post,p o s t,A_oghuz,northeuralex,-0.912,-0.912,True,True,unknown,False,fauna
Turkish,nail,t͡ʃivi,tʃ i v i,A_oghuz,northeuralex,-0.9117,-0.9117,True,True,unknown,False,body_parts
