ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
317	Kazakh	what	n e	ne	4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	0	240
318	Kyrgyz	what	e m n e	emne	7 4 4 7	XMBZ	EMNE	4	4.E.V 4.M.c 4.N.C 4.E.V	1.5 1.1 1.75 0.8	0	243
319	Turkish	what	n e	ne	4 7	AX	NE	5	5.N.C 5.E.V	2.0 1.5	0	240
320	Turkmen	what	n æ m e	nɛme	4 7 4 7	AXBZ	NEME	6	6.N.C 6.E.V 6.M.C 6.E.V	2.0 1.5 1.75 0.8	0	240
321	Uyghur	what	n i m æ	nimɛ	4 7 4 7	AXBZ	NIME	7	7.N.C 7.I.V 7.M.C 7.E.V	2.0 1.5 1.75 0.8	0	243
322	Uzbek	what	n i m a	nima	4 7 4 7	AXBZ	NIMA	8	8.N.C 8.I.V 8.M.C 8.A.V	2.0 1.5 1.75 0.8	0	247
323	Yakut	what	t u o χ	tuoχ	1 7 7 3	AXYN	TYUG	9	9.T.C 9.Y.V 9.U.V 9.G.c	2.0 1.5 1.3 0.8	0	248
324	Azerbaijani	who	k i m	kim	1 7 4	AXN	KIM	1	1.K.C 1.I.V 1.M.c	2.0 1.5 0.8	0	249
325	Chuvash	who	k a m	kam	1 7 4	AXN	KAM	2	2.K.C 2.A.V 2.M.c	2.0 1.5 0.8	0	250
326	Kazakh	who	k ĭ m	kɘm	1 7 4	AXN	KIM	3	3.K.C 3.I.V 3.M.c	2.0 1.5 0.8	0	251
327	Kyrgyz	who	k i m	kim	1 7 4	AXN	KIM	4	4.K.C 4.I.V 4.M.c	2.0 1.5 0.8	0	252
328	Turkish	who	k i m	kim	1 7 4	AXN	KIM	5	5.K.C 5.I.V 5.M.c	2.0 1.5 0.8	0	253
329	Turkmen	who	k i m	kim	1 7 4	AXN	KIM	6	6.K.C 6.I.V 6.M.c	2.0 1.5 0.8	0	254
330	Uyghur	who	k i m	kim	1 7 4	AXN	KIM	7	7.K.C 7.I.V 7.M.c	2.0 1.5 0.8	0	255
331	Uzbek	who	k i m	kim	1 7 4	AXN	KIM	8	8.K.C 8.I.V 8.M.c	2.0 1.5 0.8	0	256
332	Yakut	who	k i m	kim	1 7 4	AXN	KIM	9	9.K.C 9.I.V 9.M.c	2.0 1.5 0.8	0	257
