language,gloss,form,ipa_tokens,cogid,cogid_source,savelyev_cogid,lexstat_cogid,conflict
Turkish,precious,dɛjɛɾli,d ɛ j ɛ ɾ l i,,northeuralex,,,
Turkish,blind,kœɾ,k œ ɾ,,northeuralex,,,
Turkish,deaf,saːɯɾ,s aː ɯ ɾ,,northeuralex,,,
Turkish,powerful,dint͡ʃ,d i n tʃ,,northeuralex,,,
Turkish,powerful,kuvːɛtli,k u vː ɛ t l i,,northeuralex,,,
Turkish,strong,ɡyt͡ʃly,g y tʃ l y,,northeuralex,,,
Turkish,strong,kuvːɛtli,k u vː ɛ t l i,,northeuralex,,,
Turkish,weak,zajɯf,z a j ɯ f,,northeuralex,,,
Turkish,weak,ɡyt͡ʃsyz,g y tʃ s y z,,northeuralex,,,
Turkish,fat,ʃiʃman,ʃ i ʃ m a n,,northeuralex,,,
Turkish,slim,naɾin,n a ɾ i n,,northeuralex,,,
Turkish,pretty,ɡyzɛl,g y z ɛ l,,northeuralex,,,
Turkish,pretty,sɛvimli,s ɛ v i m l i,,northeuralex,,,
Turkish,evil,kœty,k œ t y,,northeuralex,,,
Turkish,stupid,aptal,a p t a l,,northeuralex,,,
Turkish,lazy,tɛmbɛl,t ɛ m b ɛ l,,northeuralex,,,
Turkish,diligent,t͡ʃalɯʃkan,tʃ a l ɯ ʃ k a n,,northeuralex,,,
Turkish,stingy,d͡ʒimɾi,dʒ i m ɾ i,,northeuralex,,,
Turkish,clever,zɛkiː,z ɛ k iː,,northeuralex,,,
Turkish,clever,akɯlːɯ,a k ɯ lː ɯ,,northeuralex,,,
Turkish,skilful,bɛd͡ʒɛɾikli,b ɛ dʒ ɛ ɾ i k l i,,northeuralex,,,
Turkish,dear,sɛvimli,s ɛ v i m l i,,northeuralex,,,
Turkish,merry,nɛʃɛli,n ɛ ʃ ɛ l i,,northeuralex,,,
Turkish,gentle,nazik,n a z i k,,northeuralex,,,
Turkish,hungry,at͡ʃ,a tʃ,,northeuralex,,,
Turkish,"sick, ill",hasta,h a s t a,,northeuralex,,,
Turkish,"sick, ill",ɾahatsɯz,ɾ a h a t s ɯ z,,northeuralex,,,
Turkish,naked,t͡ʃɯplak,tʃ ɯ p l a k,,northeuralex,,,
Turkish,sad,kɛdɛɾli,k ɛ d ɛ ɾ l i,,northeuralex,,,
Turkish,sad,yzyntyly,y z y n t y l y,,northeuralex,,,
Turkish,living,d͡ʒanlɯ,dʒ a n l ɯ,,northeuralex,,,
Turkish,good,iji,i j i,,northeuralex,,,
Turkish,bad,kœty,k œ t y,,northeuralex,,,
Turkish,correct,doːɾu,d oː ɾ u,,northeuralex,,,
Turkish,"nasty, dire",kœty,k œ t y,,northeuralex,,,
Turkish,true,doːɾu,d oː ɾ u,,northeuralex,,,
Turkish,true,ɡɛɾt͡ʃɛk,g ɛ ɾ tʃ ɛ k,,northeuralex,,,
Turkish,old,ɛski,ɛ s k i,,northeuralex,,,
Turkish,new,jɛni,j ɛ n i,,northeuralex,,,
Turkish,former,œnd͡ʒɛki,œ n dʒ ɛ k i,,northeuralex,,,
Turkish,"aged, old",jaʃlɯ,j a ʃ l ɯ,,northeuralex,,,
Turkish,young,ɡɛnt͡ʃ,g ɛ n tʃ,,northeuralex,,,
Turkish,poor,fakiɾ,f a k i ɾ,,northeuralex,,,
Turkish,rich,zɛnɡin,z ɛ n g i n,,northeuralex,,,
Turkish,familiar,bilinɛn,b i l i n ɛ n,,northeuralex,,,
Turkish,famous,ynly,y n l y,,northeuralex,,,
Turkish,famous,mɛʃhuɾ,m ɛ ʃ h u ɾ,,northeuralex,,,
Turkish,foreign,jaband͡ʒɯ,j a b a n dʒ ɯ,,northeuralex,,,
Turkish,different,ajɾɯ,a j ɾ ɯ,,northeuralex,,,
Turkish,different,faɾklɯ,f a ɾ k l ɯ,,northeuralex,,,
Turkish,near,jakɯn,j a k ɯ n,,northeuralex,,,
Turkish,near,bitiʃik,b i t i ʃ i k,,northeuralex,,,
Turkish,far,uzak,u z a k,,northeuralex,,,
Turkish,left,sol,s o l,,northeuralex,,,
Turkish,right,saː,s aː,,northeuralex,,,
Turkish,other,dijɛɾ,d i j ɛ ɾ,,northeuralex,,,
Turkish,first,ilk,i l k,,northeuralex,,,
Turkish,first,biɾind͡ʒi,b i ɾ i n dʒ i,,northeuralex,,,
Turkish,second,ikind͡ʒi,i k i n dʒ i,,northeuralex,,,
Turkish,third,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,,northeuralex,,,
Turkish,last,son,s o n,,northeuralex,,,
Turkish,last,sonund͡ʒu,s o n u n dʒ u,,northeuralex,,,
Turkish,alone,jalnɯz,j a l n ɯ z,,northeuralex,,,
Turkish,alone,tɛk_baʃɯna,t ɛ k + b a ʃ ɯ n a,,northeuralex,,,
Turkish,at once,biɾdɛn,b i ɾ d ɛ n,,northeuralex,,,
Turkish,together,bɛɾabɛɾ,b ɛ ɾ a b ɛ ɾ,,northeuralex,,,
Turkish,together,biɾliktɛ,b i ɾ l i k t ɛ,,northeuralex,,,
Turkish,suddenly,ansɯzɯn,a n s ɯ z ɯ n,,northeuralex,,,
Turkish,suddenly,biɾdɛnbiɾɛ,b i ɾ d ɛ n b i ɾ ɛ,,northeuralex,,,
Turkish,instantly,hɛmɛn,h ɛ m ɛ n,,northeuralex,,,
Turkish,instantly,dɛɾhal,d ɛ ɾ h a l,,northeuralex,,,
Turkish,later,daha_sonɾa,d a h a + s o n ɾ a,,northeuralex,,,
Turkish,now,ʃimdi,ʃ i m d i,,northeuralex,,,
Turkish,today,buɡyn,b u g y n,,northeuralex,,,
Turkish,tomorrow,jaɾɯn,j a ɾ ɯ n,,northeuralex,,,
Turkish,soon,jakɯnda,j a k ɯ n d a,,northeuralex,,,
Turkish,then,sonɾa,s o n ɾ a,,northeuralex,,,
Turkish,yesterday,dyn,d y n,,northeuralex,,,
Turkish,once,ɛskidɛn,ɛ s k i d ɛ n,,northeuralex,,,
Turkish,at that time,o_zamanlaɾ,o + z a m a n l a ɾ,,northeuralex,,,
Turkish,afterwards,sonɾadan,s o n ɾ a d a n,,northeuralex,,,
Turkish,afterwards,ondan_sonɾa,o n d a n + s o n ɾ a,,northeuralex,,,
Turkish,before,œnd͡ʒɛ,œ n dʒ ɛ,,northeuralex,,,
Turkish,before,œnd͡ʒɛdɛn,œ n dʒ ɛ d ɛ n,,northeuralex,,,
Turkish,at first,ilk_œnd͡ʒɛ,i l k + œ n dʒ ɛ,,northeuralex,,,
Turkish,once,biɾ_dɛfa,b i ɾ + d ɛ f a,,northeuralex,,,
Turkish,sometimes,bazan,b a z a n,,northeuralex,,,
Turkish,often,sɯk_sɯk,s ɯ k + s ɯ k,,northeuralex,,,
Turkish,often,t͡ʃok_dɛfa,tʃ o k + d ɛ f a,,northeuralex,,,
Turkish,always,daima,d a i m a,,northeuralex,,,
Turkish,always,hɛɾ_zaman,h ɛ ɾ + z a m a n,,northeuralex,,,
Turkish,never,asla_dɛjil,a s l a + d ɛ j i l,,northeuralex,,,
Turkish,never,hit͡ʃbiɾ_zaman,h i tʃ b i ɾ + z a m a n,,northeuralex,,,
Turkish,here,buɾada,b u ɾ a d a,,northeuralex,,,
Turkish,hither,buɾaja,b u ɾ a j a,,northeuralex,,,
Turkish,hence,buɾadan,b u ɾ a d a n,,northeuralex,,,
Turkish,there,oɾada,o ɾ a d a,,northeuralex,,,
Turkish,there,ʃuɾada,ʃ u ɾ a d a,,northeuralex,,,
Turkish,thither,oɾaja,o ɾ a j a,,northeuralex,,,
Turkish,thither,ʃuɾaja,ʃ u ɾ a j a,,northeuralex,,,
Turkish,ahead,doːɾu,d oː ɾ u,,northeuralex,,,
Turkish,forward,ilɛɾi,i l ɛ ɾ i,,northeuralex,,,
Turkish,backward,ɡɛɾi,g ɛ ɾ i,,northeuralex,,,
Turkish,back,ɡɛɾijɛ,g ɛ ɾ i j ɛ,,northeuralex,,,
Turkish,below,aʃaːɯda,a ʃ aː ɯ d a,,northeuralex,,,
Turkish,down,aʃaːɯja,a ʃ aː ɯ j a,,northeuralex,,,
Turkish,above,jukaɾɯda,j u k a ɾ ɯ d a,,northeuralex,,,
Turkish,up,jukaɾɯ,j u k a ɾ ɯ,,northeuralex,,,
Turkish,up,jukaɾɯja,j u k a ɾ ɯ j a,,northeuralex,,,
Turkish,everywhere,hɛɾ_jɛɾdɛ,h ɛ ɾ + j ɛ ɾ d ɛ,,northeuralex,,,
Turkish,a little,biɾaz,b i ɾ a z,,northeuralex,,,
Turkish,hardly,daɾ,d a ɾ,,northeuralex,,,
Turkish,hardly,hɛmɛn_hɛmɛn_dɛjil,h ɛ m ɛ n + h ɛ m ɛ n + d ɛ j i l,,northeuralex,,,
Turkish,very,pɛk,p ɛ k,,northeuralex,,,
Turkish,very,ɡajɛt,g a j ɛ t,,northeuralex,,,
Turkish,so,œjlɛ,œ j l ɛ,,northeuralex,,,
Turkish,so,bœjlɛ,b œ j l ɛ,,northeuralex,,,
Turkish,still,haːlaː,h aː l aː,,northeuralex,,,
Turkish,still,hɛnyz,h ɛ n y z,,northeuralex,,,
Turkish,only,and͡ʒak,a n dʒ a k,,northeuralex,,,
Turkish,only,jalnɯz,j a l n ɯ z,,northeuralex,,,
Turkish,already,t͡ʃoktan,tʃ o k t a n,,northeuralex,,,
Turkish,again,tɛkɾaɾ,t ɛ k ɾ a ɾ,,northeuralex,,,
Turkish,again,jɛnidɛn,j ɛ n i d ɛ n,,northeuralex,,,
Turkish,in vain,boʃuna,b o ʃ u n a,,northeuralex,,,
Turkish,in front of,œnyndɛ,œ n y n d ɛ,,northeuralex,,,
Turkish,behind,aɾkasɯnda,a ɾ k a s ɯ n d a,,northeuralex,,,
Turkish,under,altɯnda,a l t ɯ n d a,,northeuralex,,,
Turkish,through,sajɛsindɛ,s a j ɛ s i n d ɛ,,northeuralex,,,
Turkish,through,oɾtasɯndan,o ɾ t a s ɯ n d a n,,northeuralex,,,
Turkish,next to,janɯnda,j a n ɯ n d a,,northeuralex,,,
Turkish,between,aɾasɯnda,a ɾ a s ɯ n d a,,northeuralex,,,
Turkish,because of,dolajɯ,d o l a j ɯ,,northeuralex,,,
Turkish,everything,hɛpsi,h ɛ p s i,,northeuralex,,,
Turkish,everything,hɛɾ_ʃɛj,h ɛ ɾ + ʃ ɛ j,,northeuralex,,,
Turkish,thou,sɛn,s ɛ n,,northeuralex,,,
Turkish,he,o,o,,northeuralex,,,
Turkish,you,siz,s i z,,northeuralex,,,
Turkish,they,onlaɾ,o n l a ɾ,,northeuralex,,,
Turkish,where,nɛɾɛdɛ,n ɛ ɾ ɛ d ɛ,,northeuralex,,,
Turkish,where to,nɛɾɛjɛ,n ɛ ɾ ɛ j ɛ,,northeuralex,,,
Turkish,how,nasɯl,n a s ɯ l,,northeuralex,,,
Turkish,why,nɛdɛn,n ɛ d ɛ n,,northeuralex,,,
Turkish,how much,kat͡ʃ,k a tʃ,,northeuralex,,,
Turkish,how much,nɛ_kadaɾ,n ɛ + k a d a ɾ,,northeuralex,,,
Turkish,three,yt͡ʃ,y tʃ,,northeuralex,,,
Turkish,four,dœɾt,d œ ɾ t,,northeuralex,,,
Turkish,five,bɛʃ,b ɛ ʃ,,northeuralex,,,
Turkish,six,altɯ,a l t ɯ,,northeuralex,,,
Turkish,seven,jɛdi,j ɛ d i,,northeuralex,,,
Turkish,eight,sɛkiz,s ɛ k i z,,northeuralex,,,
Turkish,nine,dokuz,d o k u z,,northeuralex,,,
Turkish,ten,on,o n,,northeuralex,,,
Turkish,and,vɛ,v ɛ,,northeuralex,,,
Turkish,and,ilɛ,i l ɛ,,northeuralex,,,
Turkish,or,ja,j a,,northeuralex,,,
Turkish,or,jahut,j a h u t,,northeuralex,,,
Turkish,stand,duɾmak,d u ɾ m a k,,northeuralex,,,
Turkish,sit,otuɾmak,o t u ɾ m a k,,northeuralex,,,
Turkish,lie,jatmak,j a t m a k,,northeuralex,,,
Turkish,hang,asɯlɯ_olmak,a s ɯ l ɯ + o l m a k,,northeuralex,,,
Turkish,become,olmak,o l m a k,,northeuralex,,,
Turkish,become,olunmak,o l u n m a k,,northeuralex,,,
Turkish,happen,olmak,o l m a k,,northeuralex,,,
Turkish,begin,baʃlamak,b a ʃ l a m a k,,northeuralex,,,
Turkish,end,bitmɛk,b i t m ɛ k,,northeuralex,,,
Turkish,end,sona_ɛɾmɛk,s o n a + ɛ ɾ m ɛ k,,northeuralex,,,
Turkish,change,dɛjiʃmɛk,d ɛ j i ʃ m ɛ k,,northeuralex,,,
Turkish,rise,doːmak,d oː m a k,,northeuralex,,,
Turkish,set,batmak,b a t m a k,,northeuralex,,,
Turkish,shine,paɾlamak,p a ɾ l a m a k,,northeuralex,,,
Turkish,thunder,ɡœk_ɡyɾlɛmɛk,g œ k + g y ɾ l ɛ m ɛ k,,northeuralex,,,
Turkish,blow,ɛsmɛk,ɛ s m ɛ k,,northeuralex,,,
Turkish,stream,akmak,a k m a k,,northeuralex,,,
Turkish,flow,akmak,a k m a k,,northeuralex,,,
Turkish,revolve,dœnmɛk,d œ n m ɛ k,,northeuralex,,,
Turkish,sway,salːanmak,s a lː a n m a k,,northeuralex,,,
Turkish,swing,titɾɛmɛk,t i t ɾ ɛ m ɛ k,,northeuralex,,,
Turkish,fall,dyʃmɛk,d y ʃ m ɛ k,,northeuralex,,,
Turkish,burn,janmak,j a n m a k,,northeuralex,,,
Turkish,smoke,tytmɛk,t y t m ɛ k,,northeuralex,,,
Turkish,rain,jaːmak,j aː m a k,,northeuralex,,,
Turkish,freeze,donmak,d o n m a k,,northeuralex,,,
Turkish,thaw,ɛɾimɛk,ɛ ɾ i m ɛ k,,northeuralex,,,
Turkish,melt,ɛɾimɛk,ɛ ɾ i m ɛ k,,northeuralex,,,
Turkish,dry,kuɾumak,k u ɾ u m a k,,northeuralex,,,
Turkish,boil,kajnamak,k a j n a m a k,,northeuralex,,,
Turkish,rot,t͡ʃyɾymɛk,tʃ y ɾ y m ɛ k,,northeuralex,,,
Turkish,decay,t͡ʃyɾymɛk,tʃ y ɾ y m ɛ k,,northeuralex,,,
Turkish,snap,jɯɾtɯlmak,j ɯ ɾ t ɯ l m a k,,northeuralex,,,
Turkish,sink,batmak,b a t m a k,,northeuralex,,,
Turkish,pass,ɡɛt͡ʃmɛk,g ɛ tʃ m ɛ k,,northeuralex,,,
Turkish,appear,ɡœɾynmɛk,g œ ɾ y n m ɛ k,,northeuralex,,,
Turkish,disappear,kajbolmak,k a j b o l m a k,,northeuralex,,,
Turkish,"drop, descend",inmɛk,i n m ɛ k,,northeuralex,,,
Turkish,decrease,azalmak,a z a l m a k,,northeuralex,,,
Turkish,increase,aɾtmak,a ɾ t m a k,,northeuralex,,,
Turkish,increase,t͡ʃoːalmak,tʃ oː a l m a k,,northeuralex,,,
Turkish,rise,aɾtmak,a ɾ t m a k,,northeuralex,,,
Turkish,rise,jyksɛlmɛk,j y k s ɛ l m ɛ k,,northeuralex,,,
Turkish,grow,byjymɛk,b y j y m ɛ k,,northeuralex,,,
Turkish,grow,ɡɛliʃmɛk,g ɛ l i ʃ m ɛ k,,northeuralex,,,
Turkish,shine,paɾlamak,p a ɾ l a m a k,,northeuralex,,,
Turkish,"sparkle, twinkle",paɾɯldamak,p a ɾ ɯ l d a m a k,,northeuralex,,,
Turkish,be noisy,ɡyɾylty_japmak,g y ɾ y l t y + j a p m a k,,northeuralex,,,
Turkish,chime,t͡ʃalmak,tʃ a l m a k,,northeuralex,,,
Turkish,ring,zil_t͡ʃalmak,z i l + tʃ a l m a k,,northeuralex,,,
Turkish,tinkle,ʃakɯɾdamak,ʃ a k ɯ ɾ d a m a k,,northeuralex,,,
Turkish,tinkle,zanɡɯɾdamak,z a n g ɯ ɾ d a m a k,,northeuralex,,,
Turkish,roar,kœpyɾmɛk,k œ p y ɾ m ɛ k,,northeuralex,,,
Turkish,roar,kykɾɛmɛk,k y k ɾ ɛ m ɛ k,,northeuralex,,,
Turkish,rustle,fɯʃɯɾdamak,f ɯ ʃ ɯ ɾ d a m a k,,northeuralex,,,
Turkish,sound,tɯnlamak,t ɯ n l a m a k,,northeuralex,,,
Turkish,howl,ulumak,u l u m a k,,northeuralex,,,
Turkish,blow,yflɛmɛk,y f l ɛ m ɛ k,,northeuralex,,,
Turkish,whistle,dydyk_t͡ʃalmak,d y d y k + tʃ a l m a k,,northeuralex,,,
Turkish,shout,baːɯɾmak,b aː ɯ ɾ m a k,,northeuralex,,,
Turkish,shout,hajkɯɾmak,h a j k ɯ ɾ m a k,,northeuralex,,,
Turkish,groan,inlɛmɛk,i n l ɛ m ɛ k,,northeuralex,,,
Turkish,tremble,titɾɛmɛk,t i t ɾ ɛ m ɛ k,,northeuralex,,,
Turkish,live,jaʃamak,j a ʃ a m a k,,northeuralex,,,
Turkish,live,hajatːa_olmak,h a j a tː a + o l m a k,,northeuralex,,,
Turkish,be born,doːmak,d oː m a k,,northeuralex,,,
Turkish,breathe,solunmak,s o l u n m a k,,northeuralex,,,
Turkish,breathe,nɛfɛs_almak,n ɛ f ɛ s + a l m a k,,northeuralex,,,
Turkish,drink,it͡ʃmɛk,i tʃ m ɛ k,,northeuralex,,,
Turkish,eat,jɛmɛk,j ɛ m ɛ k,,northeuralex,,,
Turkish,swallow,jutmak,j u t m a k,,northeuralex,,,
Turkish,get tired,joɾulmak,j o ɾ u l m a k,,northeuralex,,,
Turkish,fall asleep,ujkuja_dalmak,u j k u j a + d a l m a k,,northeuralex,,,
Turkish,sleep,ujumak,u j u m a k,,northeuralex,,,
Turkish,wake up,ujanmak,u j a n m a k,,northeuralex,,,
Turkish,get up,kalkmak,k a l k m a k,,northeuralex,,,
Turkish,get up,jataktan_kalkmak,j a t a k t a n + k a l k m a k,,northeuralex,,,
Turkish,relax,dinlɛnmɛk,d i n l ɛ n m ɛ k,,northeuralex,,,
Turkish,fall ill,hastalanmak,h a s t a l a n m a k,,northeuralex,,,
Turkish,be ill,hasta_olmak,h a s t a + o l m a k,,northeuralex,,,
Turkish,ache,aːɾɯmak,aː ɾ ɯ m a k,,northeuralex,,,
Turkish,cough,œksyɾmɛk,œ k s y ɾ m ɛ k,,northeuralex,,,
Turkish,recover,ʃifa_bulmak,ʃ i f a + b u l m a k,,northeuralex,,,
Turkish,die,œlmɛk,œ l m ɛ k,,northeuralex,,,
Turkish,die,vɛfat_ɛtmɛk,v ɛ f a t + ɛ t m ɛ k,,northeuralex,,,
Turkish,perish,œlmɛk,œ l m ɛ k,,northeuralex,,,
Turkish,move,haɾɛkɛt_ɛtmɛk,h a ɾ ɛ k ɛ t + ɛ t m ɛ k,,northeuralex,,,
Turkish,budge,kɯmɯldanmak,k ɯ m ɯ l d a n m a k,,northeuralex,,,
Turkish,stand up,kalkmak,k a l k m a k,,northeuralex,,,
Turkish,stand up,ajaːa_kalkmak,a j aː a + k a l k m a k,,northeuralex,,,
Turkish,sit down,otuɾmak,o t u ɾ m a k,,northeuralex,,,
Turkish,tumble,jɛɾɛ_dyʃmɛk,j ɛ ɾ ɛ + d y ʃ m ɛ k,,northeuralex,,,
Turkish,walk,jyɾymɛk,j y ɾ y m ɛ k,,northeuralex,,,
Turkish,step,jyɾymɛk,j y ɾ y m ɛ k,,northeuralex,,,
Turkish,step,adɯm_atmak,a d ɯ m + a t m a k,,northeuralex,,,
Turkish,take a walk,ɡɛzmɛk,g ɛ z m ɛ k,,northeuralex,,,
Turkish,take a walk,dolaʃmak,d o l a ʃ m a k,,northeuralex,,,
Turkish,rush,sɛjiɾtmɛk,s ɛ j i ɾ t m ɛ k,,northeuralex,,,
Turkish,hurry,ad͡ʒɛlɛ_ɛtmɛk,a dʒ ɛ l ɛ + ɛ t m ɛ k,,northeuralex,,,
Turkish,dash,hɯzla_ɡitmɛk,h ɯ z l a + g i t m ɛ k,,northeuralex,,,
Turkish,run,koʃmak,k o ʃ m a k,,northeuralex,,,
Turkish,jump,atlamak,a t l a m a k,,northeuralex,,,
Turkish,jump,sɯt͡ʃɾamak,s ɯ tʃ ɾ a m a k,,northeuralex,,,
Turkish,climb,tɯɾmanmak,t ɯ ɾ m a n m a k,,northeuralex,,,
Turkish,seesaw,salːanmak,s a lː a n m a k,,northeuralex,,,
Turkish,creep,syɾynmɛk,s y ɾ y n m ɛ k,,northeuralex,,,
Turkish,swim,jyzmɛk,j y z m ɛ k,,northeuralex,,,
Turkish,dive,dalmak,d a l m a k,,northeuralex,,,
Turkish,row,kyɾɛk_t͡ʃɛkmɛk,k y ɾ ɛ k + tʃ ɛ k m ɛ k,,northeuralex,,,
Turkish,drive,ɡitmɛk,g i t m ɛ k,,northeuralex,,,
Turkish,fly,ut͡ʃmak,u tʃ m a k,,northeuralex,,,
Turkish,go,ɡitmɛk,g i t m ɛ k,,northeuralex,,,
Turkish,go away,ɡitmɛk,g i t m ɛ k,,northeuralex,,,
Turkish,depart,kalkmak,k a l k m a k,,northeuralex,,,
Turkish,stop,duɾmak,d u ɾ m a k,,northeuralex,,,
Turkish,go in,it͡ʃɛɾi_ɡiɾmɛk,i tʃ ɛ ɾ i + g i ɾ m ɛ k,,northeuralex,,,
Turkish,enter,ɡiɾmɛk,g i ɾ m ɛ k,,northeuralex,,,
Turkish,come,ɡɛlmɛk,g ɛ l m ɛ k,,northeuralex,,,
Turkish,arrive,vaɾmak,v a ɾ m a k,,northeuralex,,,
Turkish,come back,dœnmɛk,d œ n m ɛ k,,northeuralex,,,
Turkish,stay,kalmak,k a l m a k,,northeuralex,,,
Turkish,wait,bɛklɛmɛk,b ɛ k l ɛ m ɛ k,,northeuralex,,,
Turkish,await,bɛklɛmɛk,b ɛ k l ɛ m ɛ k,,northeuralex,,,
Turkish,look for,aɾamak,a ɾ a m a k,,northeuralex,,,
Turkish,find,bulmak,b u l m a k,,northeuralex,,,
Turkish,try,dɛnɛmɛk,d ɛ n ɛ m ɛ k,,northeuralex,,,
Turkish,prepare,hazɯɾlamak,h a z ɯ ɾ l a m a k,,northeuralex,,,
Turkish,love,sɛvmɛk,s ɛ v m ɛ k,,northeuralex,,,
Turkish,like,bɛjɛnmɛk,b ɛ j ɛ n m ɛ k,,northeuralex,,,
Turkish,laugh,ɡylmɛk,g y l m ɛ k,,northeuralex,,,
Turkish,move,dokunmak,d o k u n m a k,,northeuralex,,,
Turkish,move,dujɡulandɯɾmak,d u j g u l a n d ɯ ɾ m a k,,northeuralex,,,
Turkish,"weep, cry",aːlamak,aː l a m a k,,northeuralex,,,
Turkish,grumble,kyfɾɛtmɛk,k y f ɾ ɛ t m ɛ k,,northeuralex,,,
Turkish,be annoyed,kɯzmak,k ɯ z m a k,,northeuralex,,,
Turkish,be afraid,koɾkmak,k o ɾ k m a k,,northeuralex,,,
Turkish,be afraid of,koɾkmak,k o ɾ k m a k,,northeuralex,,,
Turkish,flee,kat͡ʃmak,k a tʃ m a k,,northeuralex,,,
Turkish,escape,kat͡ʃmak,k a tʃ m a k,,northeuralex,,,
Turkish,see,ɡœɾmɛk,g œ ɾ m ɛ k,,northeuralex,,,
Turkish,look at,sɛjɾɛtmɛk,s ɛ j ɾ ɛ t m ɛ k,,northeuralex,,,
Turkish,watch,bakmak,b a k m a k,,northeuralex,,,
Turkish,hear,dujmak,d u j m a k,,northeuralex,,,
Turkish,hear,iʃitmɛk,i ʃ i t m ɛ k,,northeuralex,,,
Turkish,listen,dinlɛmɛk,d i n l ɛ m ɛ k,,northeuralex,,,
Turkish,taste,dɛnɛmɛk,d ɛ n ɛ m ɛ k,,northeuralex,,,
Turkish,taste,tadɯna_bakmak,t a d ɯ n a + b a k m a k,,northeuralex,,,
Turkish,smell,kokusunu_almak,k o k u s u n u + a l m a k,,northeuralex,,,
Turkish,feel,dujmak,d u j m a k,,northeuralex,,,
Turkish,feel,hisːɛtmɛk,h i sː ɛ t m ɛ k,,northeuralex,,,
Turkish,seem,ɡœɾynmɛk,g œ ɾ y n m ɛ k,,northeuralex,,,
Turkish,show,ɡœɾynmɛk,g œ ɾ y n m ɛ k,,northeuralex,,,
Turkish,hear,habɛɾ_almak,h a b ɛ ɾ + a l m a k,,northeuralex,,,
Turkish,be cold,yʃymɛk,y ʃ y m ɛ k,,northeuralex,,,
Turkish,do,ɛtmɛk,ɛ t m ɛ k,,northeuralex,,,
Turkish,do,japmak,j a p m a k,,northeuralex,,,
Turkish,can,bilmɛk,b i l m ɛ k,,northeuralex,,,
Turkish,want,istɛmɛk,i s t ɛ m ɛ k,,northeuralex,,,
Turkish,start,baʃlamak,b a ʃ l a m a k,,northeuralex,,,
Turkish,finish,bitiɾmɛk,b i t i ɾ m ɛ k,,northeuralex,,,
Turkish,stop,bitmɛk,b i t m ɛ k,,northeuralex,,,
Turkish,succeed,baʃaɾmak,b a ʃ a ɾ m a k,,northeuralex,,,
Turkish,turn out,dyʃmɛk,d y ʃ m ɛ k,,northeuralex,,,
Turkish,open,at͡ʃmak,a tʃ m a k,,northeuralex,,,
Turkish,close,kapamak,k a p a m a k,,northeuralex,,,
Turkish,put,kojmak,k o j m a k,,northeuralex,,,
Turkish,place,kojmak,k o j m a k,,northeuralex,,,
Turkish,place,otuɾtmak,o t u ɾ t m a k,,northeuralex,,,
Turkish,lay,kojmak,k o j m a k,,northeuralex,,,
Turkish,lay,jatɯɾmak,j a t ɯ ɾ m a k,,northeuralex,,,
Turkish,touch,dokunmak,d o k u n m a k,,northeuralex,,,
Turkish,connect,baːlamak,b aː l a m a k,,northeuralex,,,
Turkish,connect,biɾlɛʃtiɾmɛk,b i ɾ l ɛ ʃ t i ɾ m ɛ k,,northeuralex,,,
Turkish,cover,œɾtmɛk,œ ɾ t m ɛ k,,northeuralex,,,
Turkish,cover,kaplamak,k a p l a m a k,,northeuralex,,,
Turkish,hang up,asmak,a s m a k,,northeuralex,,,
Turkish,light,jakmak,j a k m a k,,northeuralex,,,
Turkish,light,atɛʃlɛmɛk,a t ɛ ʃ l ɛ m ɛ k,,northeuralex,,,
Turkish,pick up,kaldɯɾmak,k a l d ɯ ɾ m a k,,northeuralex,,,
Turkish,leave,ɡɛɾidɛ_bɯɾakmak,g ɛ ɾ i d ɛ + b ɯ ɾ a k m a k,,northeuralex,,,
Turkish,lose,jitiɾmɛk,j i t i ɾ m ɛ k,,northeuralex,,,
Turkish,lose,kajbɛtmɛk,k a j b ɛ t m ɛ k,,northeuralex,,,
Turkish,drop,dyʃyɾmɛk,d y ʃ y ɾ m ɛ k,,northeuralex,,,
Turkish,make,japmak,j a p m a k,,northeuralex,,,
Turkish,produce,japmak,j a p m a k,,northeuralex,,,
Turkish,produce,imal_ɛtmɛk,i m a l + ɛ t m ɛ k,,northeuralex,,,
Turkish,build,kuɾmak,k u ɾ m a k,,northeuralex,,,
Turkish,build,inʃa_ɛtmɛk,i n ʃ a + ɛ t m ɛ k,,northeuralex,,,
Turkish,"repair, mend",onaɾmak,o n a ɾ m a k,,northeuralex,,,
Turkish,"repair, mend",tamiɾ_ɛtmɛk,t a m i ɾ + ɛ t m ɛ k,,northeuralex,,,
Turkish,improve,dyzɛltmɛk,d y z ɛ l t m ɛ k,,northeuralex,,,
Turkish,alter,dɛjiʃtiɾmɛk,d ɛ j i ʃ t i ɾ m ɛ k,,northeuralex,,,
Turkish,dig,kazmak,k a z m a k,,northeuralex,,,
Turkish,bow,ɛjmɛk,ɛ j m ɛ k,,northeuralex,,,
Turkish,bend,bykmɛk,b y k m ɛ k,,northeuralex,,,
Turkish,spin,t͡ʃɛviɾmɛk,tʃ ɛ v i ɾ m ɛ k,,northeuralex,,,
Turkish,spin,dœndyɾmɛk,d œ n d y ɾ m ɛ k,,northeuralex,,,
Turkish,turn over,t͡ʃɛviɾmɛk,tʃ ɛ v i ɾ m ɛ k,,northeuralex,,,
