language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups
Yakut,man,er kihi,e r k i h i,savelyev,-1.0053,-1.0053,False,False,False,6,6
Azerbaijani,man,kiʃi,k i ʃ i,savelyev,-0.4552,-0.4552,False,False,False,4,4
Kazakh,many,køp,k ø p,savelyev,-0.8848,-0.8848,False,False,False,3,3
Kyrgyz,many,køp,k ø p,savelyev,-2.2184,-2.2184,False,False,True,3,3
Turkmen,many,køp,k ø p,savelyev,-0.0289,-0.0289,False,False,True,3,3
Uyghur,many,køp,k ø p,savelyev,-0.1647,-0.1647,False,False,True,3,3
Uzbek,many,kop,k o p,savelyev,-1.0126,-1.0126,False,False,False,3,3
Azerbaijani,many,ʨoχ(lu),ʨ o χ,savelyev,-0.4249,-0.4249,False,False,False,3,3
Turkish,many,ʨok,tɕ o k,savelyev,-0.5622,-0.5622,False,False,False,3,3
Azerbaijani,flesh,ɛt,æ t,savelyev,-0.6106,-0.6106,False,False,False,2,2
Kazakh,flesh,et,e t,savelyev,-0.9368,-0.9368,False,False,False,2,2
Kyrgyz,flesh,et,e t,savelyev,-0.4523,-0.4523,False,False,True,2,2
Turkish,flesh,et,e t,savelyev,-0.7927,-0.7927,False,False,False,2,2
Turkmen,flesh,et,e t,savelyev,-0.1806,-0.1806,False,False,True,2,2
Yakut,flesh,et,e t,savelyev,-1.0391,-1.0391,False,True,False,2,2
Kazakh,not,sɘŋbɘrɘk,s ĭ ŋ b ĭ r ĭ k,savelyev,-0.6437,-0.6437,False,False,False,8,8
Kyrgyz,not,ʨimkirik,tɕ i m k i r i k,savelyev,-0.3214,-0.3214,False,False,True,8,8
Turkish,not,symyk,s y m y k,savelyev,-0.7117,-0.7117,False,False,False,5,5
Turkmen,not,symyk,s y m y k,savelyev,-0.0347,-0.0347,False,False,True,5,5
Yakut,not,sɯ:ŋk,s ɯː ŋ k,savelyev,-1.1759,-1.1759,False,False,False,4,4
Uyghur,not,maŋqa,m a ŋ q a,savelyev,-0.169,-0.169,False,False,True,5,5
Azerbaijani,not,fɯrtdɯɢ,f ɯ r t d ɯ ɢ,savelyev,-0.5985,-0.5985,False,False,False,7,7
Uzbek,not,miʃi(ri)q,m i ʃ i q,savelyev,-0.7148,-0.7148,False,False,False,5,5
Chuvash,not,mA,m a,savelyev,-1.1052,-1.1052,False,False,False,2,2
Azerbaijani,one,bir,b i r,savelyev,-0.5392,-0.5392,False,False,False,3,3
Chuvash,one,"pɘrre, pɘr",p ĭ r,savelyev,-0.792,-0.792,False,False,False,3,3
Kazakh,one,bɘr,b ĭ r,savelyev,-0.5014,-0.5014,False,False,False,3,3
Kyrgyz,one,bir,b i r,savelyev,-0.2288,-0.2288,False,False,True,3,3
Turkish,one,bir,b i r,savelyev,-0.5055,-0.5055,False,False,False,3,3
Turkmen,one,bir,b i r,savelyev,-0.1773,-0.1773,False,False,True,3,3
Uyghur,one,bir,b i r,savelyev,-0.1711,-0.1711,False,False,True,3,3
Uzbek,one,bir,b i r,savelyev,-0.7262,-0.7262,False,False,False,3,3
Yakut,one,bi:r,b iː r,savelyev,-0.7677,-0.7677,False,False,False,3,3
Kazakh,person,kɘsɘ,k ĭ s ĭ,savelyev,-0.6913,-0.6913,False,False,False,4,4
Kyrgyz,person,kiʃi,k i ʃ i,savelyev,-0.4883,-0.4883,False,False,True,4,4
Turkish,person,kiʃi,k i ʃ i,savelyev,-0.5336,-0.5336,False,False,False,4,4
Uyghur,person,kiʃi,k i ʃ i,savelyev,-0.3315,-0.3315,False,False,True,4,4
Uzbek,person,kiʃi,k i ʃ i,savelyev,-0.8557,-0.8557,False,False,False,4,4
Yakut,person,kihi,k i h i,savelyev,-1.1212,-1.1212,False,False,False,4,4
Chuvash,person,ɕɯn,ɕ ɯ n,savelyev,-0.96,-0.96,False,False,False,3,3
Chuvash,root,tɯmar,t ɯ m a r,savelyev,-0.9862,-0.9862,False,False,False,5,5
Kazakh,root,tamɯr,t a m ɯ r,savelyev,-0.5995,-0.5995,False,False,False,5,5
Kyrgyz,root,tamɯr,t a m ɯ r,savelyev,-0.1689,-0.1689,False,False,True,5,5
Uyghur,root,tomur,t o m u r,savelyev,-0.1216,-0.1216,False,False,True,5,5
Uzbek,root,ildiz,i l d i z,savelyev,-0.8198,-0.8198,False,False,False,5,5
Yakut,root,silis,s i l i s,savelyev,-1.1338,-1.1338,False,False,False,5,5
Azerbaijani,root,køk,k ø k,savelyev,-0.1084,-0.1084,False,False,False,3,3
Turkish,root,køk,k ø k,savelyev,-0.1373,-0.1373,False,False,False,3,3
Turkmen,root,køk,k ø k,savelyev,-0.0289,-0.0289,False,False,True,3,3
Azerbaijani,seed,gjør,gʲ ø r,lexstat,-0.2696,-0.5696,True,False,False,3,3
Chuvash,seed,kur,k u r,savelyev,-0.9909,-0.9909,False,False,False,3,3
Kazakh,seed,kør,k ø r,savelyev,-0.6529,-0.6529,False,False,False,3,3
Kyrgyz,seed,kør,k ø r,savelyev,-0.2517,-0.2517,False,False,True,3,3
Turkish,seed,gør,g ø r,lexstat,-0.1788,-0.4788,True,False,False,3,3
Turkmen,seed,gør,g ø r,lexstat,-0.0409,-0.3409,True,False,True,3,3
Uyghur,seed,kør,k ø r,savelyev,-0.1887,-0.1887,False,False,True,3,3
Uzbek,seed,kor,k o r,savelyev,-0.7964,-0.7964,False,False,False,3,3
Yakut,seed,kør,k ø r,lexstat,-0.9739,-1.2739,True,False,False,3,3
Azerbaijani,skin,dɛri,d æ r i,savelyev,-0.6377,-0.6377,False,False,False,4,4
Chuvash,skin,tirɘ,t i r ĭ,savelyev,-0.8668,-0.8668,False,False,False,4,4
Kazakh,skin,terɘ,t e r ĭ,savelyev,-0.6568,-0.6568,False,False,False,4,4
Kyrgyz,skin,teri,t e r i,savelyev,-0.3623,-0.3623,False,False,True,4,4
Turkish,skin,deri,d e r i,savelyev,-0.5549,-0.5549,False,False,False,4,4
Turkmen,skin,deri,d e r i,savelyev,-0.2576,-0.2576,False,False,True,4,4
Uyghur,skin,terɛ,t e r æ,savelyev,-0.2546,-0.2546,False,False,True,4,4
Uzbek,skin,teri,t e r i,savelyev,-0.6529,-0.6529,False,False,False,4,4
Yakut,skin,tiri:,t i r iː,savelyev,-0.9038,-0.9038,False,False,False,4,4
Azerbaijani,small,kiʨik,k i tɕ i k,savelyev,-0.2546,-0.2546,False,False,False,5,5
