language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag
Kazakh,dream,tʊs,t ʊ s,A_kipchak,northeuralex,-1.076,-1.076,True,True,unknown,False
Kazakh,milk,sʊt,s ʊ t,A_kipchak,northeuralex,-1.076,-1.076,True,True,unknown,False
Kazakh,fresh,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False
Kazakh,new,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False
Kazakh,again,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False
Kazakh,talk,æŋɡəme,æ ŋ g ə m e,A_kipchak,northeuralex,-1.0757,-1.0757,True,True,unknown,False
Kazakh,story,æŋɡəme,æ ŋ g ə m e,A_kipchak,northeuralex,-1.0757,-1.0757,True,True,unknown,False
Kazakh,glass,ʃənə,ʃ ə n ə,A_kipchak,northeuralex,-1.0756,-1.0756,True,True,unknown,False
Kazakh,fringe,ʃetə,ʃ e t ə,A_kipchak,northeuralex,-1.0755,-1.0755,True,True,unknown,False
Kazakh,odour,ɪjəs,ɪ j ə s,A_kipchak,northeuralex,-1.0751,-1.0751,True,True,unknown,False
Turkmen,horn,Sah,ʃ a h,A_oghuz,lexstat,-2.386,-2.386,True,True,unknown,True
Turkmen,grease,jaɣ,j a ɣ,A_oghuz,savelyev,-2.2015,-2.2015,True,True,mongolic_candidate,True
Turkish,clever,zɛkiː,z ɛ k iː,A_oghuz,northeuralex,-1.9189,-1.9189,True,True,unknown,False
Turkmen,small,kiʨi(ʥik),k i ʨ i ʥ i k,A_oghuz,savelyev,-1.8743,-1.8743,True,True,unknown,True
Turkmen,tree,aɣaʨ,a ɣ a tɕ,A_oghuz,savelyev,-1.629,-1.629,True,True,mongolic_candidate,True
Turkmen,what,nɛme,n æ m e,A_oghuz,savelyev,-1.6173,-1.6173,True,True,unknown,True
Turkmen,bone,syŋk,s y ŋ k,A_oghuz,savelyev,-1.5433,-1.5433,True,True,unknown,True
