ID	DOCULECT	CONCEPT	TOKENS	IPA
1379	Turkish	spoil	b o z m a k	bozmak
1380	Turkish	damage	z ɛ d ɛ l ɛ m ɛ k	zɛdɛlɛmɛk
1381	Turkish	damage	z i j a n + v ɛ ɾ m ɛ k	zijan_vɛɾmɛk
1382	Turkish	break	k ɯ ɾ m a k	kɯɾmak
1383	Turkish	tear	j ɯ ɾ t m a k	jɯɾtmak
1384	Turkish	destroy	j ɯ k m a k	jɯkmak
1385	Turkish	destroy	t a h ɾ i p + ɛ t m ɛ k	tahɾip_ɛtmɛk
1386	Turkish	burn	j a k m a k	jakmak
1387	Turkish	give	v ɛ ɾ m ɛ k	vɛɾmɛk
1388	Turkish	hand	u z a t m a k	uzatmak
1389	Turkish	give	h ɛ d i j ɛ + ɛ t m ɛ k	hɛdijɛ_ɛtmɛk
1390	Turkish	promise	v aː t + ɛ t m ɛ k	vaːt_ɛtmɛk
1391	Turkish	wish	k u t l a m a k	kutlamak
1392	Turkish	praise	œ v m ɛ k	œvmɛk
1393	Turkish	kiss	œ p m ɛ k	œpmɛk
1394	Turkish	rock	s a lː a m a k	salːamak
1395	Turkish	cover	œ ɾ t m ɛ k	œɾtmɛk
1396	Turkish	wake	u j a n d ɯ ɾ m a k	ujandɯɾmak
1397	Turkish	show	g œ s t ɛ ɾ m ɛ k	ɡœstɛɾmɛk
1398	Turkish	guide	g ɛ z d i ɾ m ɛ k	ɡɛzdiɾmɛk
1399	Turkish	guide	j o l + g œ s t ɛ ɾ m ɛ k	jol_ɡœstɛɾmɛk
1400	Turkish	teach	o k u t m a k	okutmak
1401	Turkish	teach	œ j ɾ ɛ t m ɛ k	œjɾɛtmɛk
1402	Turkish	instruct	œ j ɾ ɛ t m ɛ k	œjɾɛtmɛk
1403	Turkish	bring up	j ɛ t i ʃ t i ɾ m ɛ k	jɛtiʃtiɾmɛk
1404	Turkish	lead	j œ n ɛ t m ɛ k	jœnɛtmɛk
1405	Turkish	lead	i d a ɾ ɛ + ɛ t m ɛ k	idaɾɛ_ɛtmɛk
1406	Turkish	urge	t ɛ ʃ v i k + ɛ t m ɛ k	tɛʃvik_ɛtmɛk
1407	Turkish	let	t ɯ ɾ m a k	tɯɾmak
1408	Turkish	invite	d a v ɛ t + ɛ t m ɛ k	davɛt_ɛtmɛk
1409	Turkish	unite	b i ɾ l ɛ ʃ t i ɾ m ɛ k	biɾlɛʃtiɾmɛk
1410	Turkish	visit	uː ɾ a m a k	uːɾamak
1411	Turkish	visit	z i j a ɾ ɛ t + ɛ t m ɛ k	zijaɾɛt_ɛtmɛk
1412	Turkish	visit	g œ ɾ m ɛ j ɛ + g i t m ɛ k	ɡœɾmɛjɛ_ɡitmɛk
1413	Turkish	meet	ɾ a s t l a m a k	ɾastlamak
1414	Turkish	meet	i s a b ɛ t + ɛ t m ɛ k	isabɛt_ɛtmɛk
1415	Turkish	assemble	t o p l a n m a k	toplanmak
1416	Turkish	play	o j n a m a k	ojnamak
1417	Turkish	sing	s œ j l ɛ m ɛ k	sœjlɛmɛk
1418	Turkish	sing	ʃ a ɾ k ɯ + s œ j l ɛ m ɛ k	ʃaɾkɯ_sœjlɛmɛk
1419	Turkish	dance	o j n a m a k	ojnamak
1420	Turkish	dance	d a n s + ɛ t m ɛ k	dans_ɛtmɛk
1421	Turkish	separate	a j ɾ ɯ l m a k	ajɾɯlmak
1422	Turkish	leave	b ɯ ɾ a k m a k	bɯɾakmak
1423	Turkish	leave	t ɛ ɾ k + ɛ t m ɛ k	tɛɾk_ɛtmɛk
1424	Turkish	rescue	k u ɾ t a ɾ m a k	kuɾtaɾmak
1425	Turkish	guard	g œ z ɛ t m ɛ k	ɡœzɛtmɛk
1426	Turkish	protect	k o ɾ u m a k	koɾumak
1427	Turkish	defend	s a v u n m a k	savunmak
1428	Turkish	brawl	d œ v y ʃ m ɛ k	dœvyʃmɛk
1429	Turkish	shoot	a t ɛ ʃ + ɛ t m ɛ k	atɛʃ_ɛtmɛk
1430	Turkish	win	j ɛ n m ɛ k	jɛnmɛk
1431	Turkish	annoy	k ɯ z d ɯ ɾ m a k	kɯzdɯɾmak
1432	Turkish	beat	d œ v m ɛ k	dœvmɛk
1433	Turkish	kick	t ɛ p m ɛ k	tɛpmɛk
1434	Turkish	sting	s o k m a k	sokmak
1435	Turkish	sting	b a t ɯ ɾ m a k	batɯɾmak
1436	Turkish	shove	i t m ɛ k	itmɛk
1437	Turkish	steal	tʃ a l m a k	t͡ʃalmak
1438	Turkish	disturb	b o z m a k	bozmak
1439	Turkish	disturb	ɛ t k i l ɛ m ɛ k	ɛtkilɛmɛk
1440	Turkish	bother	ɾ a h a t s ɯ z + ɛ t m ɛ k	ɾahatsɯz_ɛtmɛk
1441	Turkish	conceal	s a k l a m a k	saklamak
1442	Turkish	deceive	a l d a t m a k	aldatmak
1443	Turkish	cheat	a l d a t m a k	aldatmak
1444	Turkish	cheat	d o l a n d ɯ ɾ m a k	dolandɯɾmak
1445	Turkish	kill	œ l d y ɾ m ɛ k	œldyɾmɛk
1446	Turkish	dwell	o t u ɾ m a k	otuɾmak
1447	Turkish	work	tʃ a l ɯ ʃ m a k	t͡ʃalɯʃmak
1448	Turkish	gather	t o p l a m a k	toplamak
1449	Turkish	pick	k o p a ɾ m a k	kopaɾmak
1450	Turkish	hunt	a v l a n m a k	avlanmak
1451	Turkish	catch	t u t m a k	tutmak
1452	Turkish	catch	j a k a l a m a k	jakalamak
1453	Turkish	herd	o t l a t m a k	otlatmak
1454	Turkish	drive	g y t m ɛ k	ɡytmɛk
1455	Turkish	tie up	b aː l a m a k	baːlamak
1456	Turkish	feed	b ɛ s l ɛ m ɛ k	bɛslɛmɛk
1457	Turkish	milk	s aː m a k	saːmak
1458	Turkish	chop	j a ɾ m a k	jaɾmak
1459	Turkish	water	s u l a m a k	sulamak
1460	Turkish	ripen	o l g u n l a ʃ m a k	olɡunlaʃmak
1461	Turkish	cook	h a z ɯ ɾ l a m a k	hazɯɾlamak
1462	Turkish	boil	p i ʃ i ɾ m ɛ k	piʃiɾmɛk
1463	Turkish	boil	k a j n a t m a k	kajnatmak
1464	Turkish	bake	p i ʃ i ɾ m ɛ k	piʃiɾmɛk
1465	Turkish	bake	f ɯ ɾ ɯ n d a + p i ʃ i ɾ m ɛ k	fɯɾɯnda_piʃiɾmɛk
1466	Turkish	fry	k ɯ z a ɾ t m a k	kɯzaɾtmak
1467	Turkish	stir	k a ɾ ɯ ʃ t ɯ ɾ m a k	kaɾɯʃtɯɾmak
1468	Turkish	knit	œ ɾ m ɛ k	œɾmɛk
1469	Turkish	sew	d i k m ɛ k	dikmɛk
1470	Turkish	dye	b o j a m a k	bojamak
1471	Turkish	clean	t ɛ m i z l ɛ m ɛ k	tɛmizlɛmɛk
1472	Turkish	wash	j ɯ k a m a k	jɯkamak
1473	Turkish	wipe	s i l m ɛ k	silmɛk
1474	Turkish	rinse	tʃ a l k a m a k	t͡ʃalkamak
1475	Turkish	sweep	s y p y ɾ m ɛ k	sypyɾmɛk
1476	Turkish	sweep	s y p y ɾ m ɛ k	sypyɾmɛk
1477	Turkish	bath	j ɯ k a n m a k	jɯkanmak
1478	Turkish	bath	b a n j o + j a p m a k	banjo_japmak
1479	Turkish	wash	j ɯ k a n m a k	jɯkanmak
1480	Turkish	take off	tʃ ɯ k a ɾ m a k	t͡ʃɯkaɾmak
1481	Turkish	put on	g i j m ɛ k	ɡijmɛk
1482	Turkish	get dressed	g i j i n m ɛ k	ɡijinmɛk
1483	Turkish	comb	t a ɾ a m a k	taɾamak
1484	Turkish	decorate	s y s l ɛ m ɛ k	syslɛmɛk
1485	Turkish	say	d ɛ m ɛ k	dɛmɛk
1486	Turkish	say	s œ j l ɛ m ɛ k	sœjlɛmɛk
1487	Turkish	speak	k o n u ʃ m a k	konuʃmak
1488	Turkish	talk	k o n u ʃ m a k	konuʃmak
1489	Turkish	chat	s o h b ɛ t + ɛ t m ɛ k	sohbɛt_ɛtmɛk
1490	Turkish	ask	s o ɾ m a k	soɾmak
1491	Turkish	request	d i l ɛ m ɛ k	dilɛmɛk
1492	Turkish	request	ɾ i dʒ a + ɛ t m ɛ k	ɾid͡ʒa_ɛtmɛk
1493	Turkish	tell	b a h s ɛ t m ɛ k	bahsɛtmɛk
1494	Turkish	tell	h i k aː j ɛ + ɛ t m ɛ k	hikaːjɛ_ɛtmɛk
1495	Turkish	convey	b i l d i ɾ m ɛ k	bildiɾmɛk
1496	Turkish	name	a d l a n d ɯ ɾ m a k	adlandɯɾmak
1497	Turkish	call	tʃ aː ɯ ɾ m a k	t͡ʃaːɯɾmak
1498	Turkish	brag	œ v y n m ɛ k	œvynmɛk
1499	Turkish	translate	tʃ ɛ v i ɾ m ɛ k	t͡ʃɛviɾmɛk
1500	Turkish	translate	t ɛ ɾ dʒ y m ɛ + ɛ t m ɛ k	tɛɾd͡ʒymɛ_ɛtmɛk
1501	Turkish	think	d y ʃ y n m ɛ k	dyʃynmɛk
1502	Turkish	believe	i n a n m a k	inanmak
1503	Turkish	believe	z a nː ɛ t m ɛ k	zanːɛtmɛk
1504	Turkish	notice	f a ɾ k ɯ n a + v a ɾ m a k	faɾkɯna_vaɾmak
1505	Turkish	recognize	t a n ɯ m a k	tanɯmak
1506	Turkish	grasp	a n l a m a k	anlamak
1507	Turkish	grasp	k a v ɾ a m a k	kavɾamak
1508	Turkish	understand	d u j m a k	dujmak
1509	Turkish	understand	a n l a m a k	anlamak
1510	Turkish	learn	œ j ɾ ɛ n m ɛ k	œjɾɛnmɛk
1511	Turkish	know	b i l m ɛ k	bilmɛk
1512	Turkish	remember	h a t ɯ ɾ l a m a k	hatɯɾlamak
1513	Turkish	forget	u n u t m a k	unutmak
1514	Turkish	measure	œ l tʃ m ɛ k	œlt͡ʃmɛk
1515	Turkish	count	s a j m a k	sajmak
1516	Turkish	calculate	h ɛ s a p + ɛ t m ɛ k	hɛsap_ɛtmɛk
1517	Turkish	read	o k u m a k	okumak
1518	Turkish	paint	ɾ ɛ s m i n i + j a p m a k	ɾɛsmini_japmak
1519	Turkish	draw	tʃ i z m ɛ k	t͡ʃizmɛk
1520	Turkish	write	j a z m a k	jazmak
1521	Turkish	own	h a i z + o l m a k	haiz_olmak
1522	Turkish	own	s a h i p + o l m a k	sahip_olmak
1523	Turkish	buy	a l m a k	almak
1524	Turkish	sell	s a t m a k	satmak
1525	Turkish	pay for	œ d ɛ m ɛ k	œdɛmɛk
1526	Turkish	pay	œ d ɛ m ɛ k	œdɛmɛk
1527	Turkish	rule	h aː k i m + o l m a k	haːkim_olmak
1528	Turkish	endure	d a j a n m a k	dajanmak
1529	Turkish	endure	k a t l a n m a k	katlanmak
1530	Azerbaijani	nose	b u r u n	burun
1531	Azerbaijani	mouth	ɑ ɣ ɯ z	ɑɣɯz
1532	Azerbaijani	tooth	d ɪ ʃ	dɪʃ
1533	Azerbaijani	tongue	d ɪ l	dɪl
1534	Azerbaijani	lip	d ɔ d ɑ g	dɔdɑɡ
1535	Azerbaijani	cheek	j ɑ n ɑ g	jɑnɑɡ
1536	Azerbaijani	face	y z	yz
1537	Azerbaijani	forehead	ɑ l ɯ n	ɑlɯn
1538	Azerbaijani	moustache	b ɯ ɣ	bɯɣ
1539	Azerbaijani	beard	s ɑ gː ɑ l	sɑɡːɑl
1540	Azerbaijani	chin	tʃ æ n æ	t͡ʃænæ
1541	Azerbaijani	jaw	tʃ æ n æ	t͡ʃænæ
1542	Azerbaijani	throat	b ɔ ɣ ɑ z	bɔɣɑz
1543	Azerbaijani	neck	b ɔ j u n	bɔjun
1544	Azerbaijani	nape	æ n s æ	ænsæ
1545	Azerbaijani	back	b ɛ l	bɛl
1546	Azerbaijani	belly	g ɑ r ɯ n	ɡɑrɯn
1547	Azerbaijani	navel	ɟ œ b æ k	ɟœbæk
1548	Azerbaijani	bosom	m æ m æ	mæmæ
1549	Azerbaijani	breast	d œ ʃ	dœʃ
1550	Azerbaijani	shoulder	tʃ ɪ j ɪ n	t͡ʃɪjɪn
1551	Azerbaijani	arm	g ɔ l	ɡɔl
1552	Azerbaijani	elbow	d ɪ r s æ k	dɪrsæk
1553	Azerbaijani	hand	æ l	æl
1554	Azerbaijani	palm	ɔ v u dʒ	ɔvud͡ʒ
1555	Azerbaijani	finger	b ɑ r m ɑ g	bɑrmɑɡ
1556	Azerbaijani	fingernail	b ɑ r m ɑ g + d ɯ r n ɑ ɣ ɯ	bɑrmɑɡ_dɯrnɑɣɯ
1557	Azerbaijani	nail	d ɯ r n ɑ k	dɯrnɑk
1558	Azerbaijani	toe	ɑ j ɑ g + b ɑ r m ɑ ɣ ɯ	ɑjɑɡ_bɑrmɑɣɯ
1559	Azerbaijani	foot	ɑ j ɑ g	ɑjɑɡ
1560	Azerbaijani	heel	d ɑ b ɑ n	dɑbɑn
1561	Azerbaijani	knee	d ɪ z	dɪz
1562	Azerbaijani	thigh	b u d	bud
1563	Azerbaijani	leg	g ɯ tʃ	ɡɯt͡ʃ
1564	Azerbaijani	body	æ n d ɑ m	ændɑm
1565	Azerbaijani	vein	d ɑ m ɑ r	dɑmɑr
1566	Azerbaijani	sinew	v æ t æ r	vætær
1567	Azerbaijani	brain	b ɛ j ɪ n	bɛjɪn
1568	Azerbaijani	heart	y r æ k	yræk
1569	Azerbaijani	stomach	m æ d æ	mædæ
1570	Azerbaijani	liver	g ɑ r ɑ + dʒ ɪ j æ r	ɡɑrɑ_d͡ʒɪjær
1571	Azerbaijani	breath	n æ f æ s	næfæs
1572	Azerbaijani	hunger	ɑ dʒ l ɯ g	ɑd͡ʒlɯɡ
1573	Azerbaijani	tear	ɟ œ z + j ɑ ʃ ɯ	ɟœz_jɑʃɯ
1574	Azerbaijani	flavour	t ɑ m	tɑm
1575	Azerbaijani	flavour	l æ zː æ t	læzːæt
1576	Azerbaijani	odour	g ɔ χ u	ɡɔχu
1577	Azerbaijani	sleep	j u χ u	juχu
1578	Azerbaijani	dream	r œ j ɑ	rœjɑ
1579	Azerbaijani	sky	ɟ œ j	ɟœj
1580	Azerbaijani	sky	s æ m ɑ	sæmɑ
1581	Azerbaijani	sun	ɟ y n æ ʃ	ɟynæʃ
1582	Azerbaijani	moon	ɑ j	ɑj
1583	Azerbaijani	star	u l d u z	ulduz
1584	Azerbaijani	air	h ɑ v ɑ	hɑvɑ
1585	Azerbaijani	wind	j ɛ l	jɛl
1586	Azerbaijani	wind	k y l æ k	kylæk
1587	Azerbaijani	wave	d ɑ l ɣ ɑ	dɑlɣɑ
1588	Azerbaijani	water	s u	su
1589	Azerbaijani	stone	d ɑ ʃ	dɑʃ
1590	Azerbaijani	ground	j ɛ r	jɛr
1591	Azerbaijani	ground	z æ m ɪ n	zæmɪn
1592	Azerbaijani	earth	j ɛ r + t ɔ r p ɑ g	jɛr_tɔrpɑɡ
1593	Azerbaijani	dust	t ɔ z	tɔz
1594	Azerbaijani	smoke	t y s t y	tysty
1595	Azerbaijani	spark	g ɯ ɣ ɯ l dʒ ɯ m	ɡɯɣɯld͡ʒɯm
1596	Azerbaijani	fire	ɔ d	ɔd
1597	Azerbaijani	light	ɪ ʃ ɯ g	ɪʃɯɡ
1598	Azerbaijani	shadow	k œ l ɟ æ	kœlɟæ
1599	Azerbaijani	weather	h ɑ v ɑ	hɑvɑ
1600	Azerbaijani	fog	d u m ɑ n	dumɑn
1601	Azerbaijani	cloud	b u l u d	bulud
1602	Azerbaijani	rain	j ɑ ɣ ɯ ʃ	jɑɣɯʃ
1603	Azerbaijani	rain	j ɑ ɣ m u r	jɑɣmur
1604	Azerbaijani	snow	g ɑ r	ɡɑr
1605	Azerbaijani	ice	b u z	buz
1606	Azerbaijani	frost	ɑ j ɑ z	ɑjɑz
1607	Azerbaijani	chill	s ɔ j u g	sɔjuɡ
1608	Azerbaijani	heat	dʒ ɔ ʃ ɣ u n l u g	d͡ʒɔʃɣunluɡ
1609	Azerbaijani	hoarfrost	g ɯ r ɔ v	ɡɯrɔv
1610	Azerbaijani	rainbow	ɟ œ j + g u r ʃ ɑ ɣ ɯ	ɟœj_ɡurʃɑɣɯ
1611	Azerbaijani	thunder	ɟ œ j + ɟ u r u l t u s u	ɟœj_ɟurultusu
1612	Azerbaijani	current	ɑ χ ɯ n	ɑχɯn
1613	Azerbaijani	drop	d ɑ m dʒ ɯ	dɑmd͡ʒɯ
1614	Azerbaijani	foam	k œ p y k	kœpyk
1615	Azerbaijani	dirt	tʃ ɑ m ɯ r	t͡ʃɑmɯr
1616	Azerbaijani	lake	ɟ œ l	ɟœl
1617	Azerbaijani	swamp	b ɑ t ɑ g l ɯ g	bɑtɑɡlɯɡ
1618	Azerbaijani	moor	b ɑ t ɑ g l ɯ g	bɑtɑɡlɯɡ
1619	Azerbaijani	meadow	tʃ æ m æ n	t͡ʃæmæn
1620	Azerbaijani	forest	m ɛ ʃ æ	mɛʃæ
1621	Azerbaijani	hill	t æ p æ	tæpæ
1622	Azerbaijani	elevation	t æ p æ	tæpæ
1623	Azerbaijani	mountain	d ɑ ɣ	dɑɣ
1624	Azerbaijani	summit	z ɪ r v æ	zɪrvæ
1625	Azerbaijani	cave	m ɑ ɣ ɑ r ɑ	mɑɣɑrɑ
1626	Azerbaijani	slope	j ɑ m ɑ dʒ	jɑmɑd͡ʒ
1627	Azerbaijani	source	b u l ɑ g	bulɑɡ
1628	Azerbaijani	brook	k ɪ tʃ ɪ k + tʃ ɑ j	kɪt͡ʃɪk_t͡ʃɑj
1629	Azerbaijani	river	tʃ ɑ j	t͡ʃɑj
1630	Azerbaijani	shore	k æ n ɑ r	kænɑr
1631	Azerbaijani	coast	s ɑ h ɪ l	sɑhɪl
1632	Azerbaijani	land	m ɑ t ɛ r ɪ k	mɑtɛrɪk
1633	Azerbaijani	sea	d æ n ɪ z	dænɪz
1634	Azerbaijani	cove, bay	k œ r f æ z	kœrfæz
1635	Azerbaijani	island	ɑ d ɑ	ɑdɑ
1636	Azerbaijani	flower	tʃ ɪ tʃ æ k	t͡ʃɪt͡ʃæk
1637	Azerbaijani	grass	ɔ t	ɔt
1638	Azerbaijani	trunk	ɟ œ v d æ	ɟœvdæ
1639	Azerbaijani	limb	ʃ ɑ χ	ʃɑχ
1640	Azerbaijani	twig	b u d ɑ g	budɑɡ
1641	Azerbaijani	birch	t ɔ z ɑ ɣ ɑ dʒ ɯ	tɔzɑɣɑd͡ʒɯ
1642	Azerbaijani	pine	ʃ ɑ m	ʃɑm
1643	Azerbaijani	willow	s œ j y d	sœjyd
1644	Azerbaijani	fir	k y k n ɑ r	kyknɑr
1645	Azerbaijani	fur	χ æ z	χæz
1646	Azerbaijani	wing	g ɑ n ɑ d	ɡɑnɑd
1647	Azerbaijani	claw	p æ n dʒ æ	pænd͡ʒæ
1648	Azerbaijani	paw	d ɯ r n ɑ g	dɯrnɑɡ
1649	Azerbaijani	nest	j u v ɑ	juvɑ
1650	Azerbaijani	lair	j u v ɑ	juvɑ
1651	Azerbaijani	animal	h ɛ j v ɑ n	hɛjvɑn
1652	Azerbaijani	flock	s y r y	syry
1653	Azerbaijani	cow	ɪ n æ k	ɪnæk
1654	Azerbaijani	bull	œ k y z	œkyz
1655	Azerbaijani	horse	ɑ t	ɑt
1656	Azerbaijani	sheep	g ɔ j u n	ɡɔjun
1657	Azerbaijani	pig	d ɔ n u z	dɔnuz
1658	Azerbaijani	cat	p ɪ ʃ ɪ k	pɪʃɪk
1659	Azerbaijani	bear	ɑ j ɯ	ɑjɯ
1660	Azerbaijani	squirrel	d æ l æ	dælæ
1661	Azerbaijani	elk	s ɯ ɣ ɯ n	sɯɣɯn
1662	Azerbaijani	fox	t y l k y	tylky
1663	Azerbaijani	hare	d ɔ v ʃ ɑ n	dɔvʃɑn
1664	Azerbaijani	mouse	s ɪ tʃ ɑ n	sɪt͡ʃɑn
1665	Azerbaijani	wolf	g u r d	ɡurd
1666	Azerbaijani	swarm	s y r y	syry
1667	Azerbaijani	chicken	t ɔ j u g	tɔjuɡ
1668	Azerbaijani	cock	χ ɔ r u z	χɔruz
1669	Azerbaijani	goose	g ɑ z	ɡɑz
1670	Azerbaijani	eagle	g ɑ r t ɑ l	ɡɑrtɑl
1671	Azerbaijani	eagle	g ɑ r ɑ g u ʃ	ɡɑrɑɡuʃ
1672	Azerbaijani	duck	œ r d æ k	œrdæk
1673	Azerbaijani	owl	b ɑ j g u ʃ	bɑjɡuʃ
1674	Azerbaijani	crane	d u r n ɑ	durnɑ
1675	Azerbaijani	crow	g ɑ r ɣ ɑ	ɡɑrɣɑ
1676	Azerbaijani	cuckoo	g u g u	ɡuɡu
1677	Azerbaijani	swan	g u + g u ʃ u	ɡu_ɡuʃu
1678	Azerbaijani	perch	t ɑ r	tɑr
1679	Azerbaijani	pike	d u r n ɑ b ɑ l ɯ ɣ ɯ	durnɑbɑlɯɣɯ
1680	Azerbaijani	snake	ɪ l ɑ n	ɪlɑn
1681	Azerbaijani	worm	g u r d	ɡurd
1682	Azerbaijani	spider	h œ r y m tʃ æ k	hœrymt͡ʃæk
1683	Azerbaijani	ant	g ɑ r ɯ ʃ g ɑ	ɡɑrɯʃɡɑ
1684	Azerbaijani	gnat	ɑ ɣ dʒ ɑ g ɑ n ɑ d	ɑɣd͡ʒɑɡɑnɑd
1685	Azerbaijani	fly	m ɪ l tʃ æ k	mɪlt͡ʃæk
1686	Azerbaijani	butterfly	k æ p æ n æ k	kæpænæk
1687	Azerbaijani	berry	ɟ ɪ l æ	ɟɪlæ
1688	Azerbaijani	apple	ɑ l m ɑ	ɑlmɑ
1689	Azerbaijani	mushroom	ɟ œ b æ l æ k	ɟœbælæk
1690	Azerbaijani	onion	s ɔ ɣ ɑ n	sɔɣɑn
1691	Azerbaijani	grain	t ɑ χ ɯ l	tɑχɯl
1692	Azerbaijani	hay	g u r u + ɔ t	ɡuru_ɔt
1693	Azerbaijani	peel, husk	g ɑ b ɯ g	ɡɑbɯɡ
1694	Azerbaijani	pit	tʃ u χ u r	t͡ʃuχur
1695	Azerbaijani	trap	t æ l æ	tælæ
1696	Azerbaijani	trap	d u z ɑ g	duzɑɡ
1697	Azerbaijani	noose	ɪ l m æ k	ɪlmæk
1698	Azerbaijani	track	ɪ z	ɪz
1699	Azerbaijani	ash	k y l	kyl
1700	Azerbaijani	filth	k ɪ r	kɪr
1701	Azerbaijani	iron	d æ m ɪ r	dæmɪr
1702	Azerbaijani	gold	ɑ l t u n	ɑltun
1703	Azerbaijani	silver	ɟ y m y ʃ	ɟymyʃ
1704	Azerbaijani	coal	k œ m y r	kœmyr
1705	Azerbaijani	glass	ʃ y ʃ æ	ʃyʃæ
1706	Azerbaijani	clay	ɟ ɪ l	ɟɪl
1707	Azerbaijani	clay	p ɑ l tʃ ɯ g	pɑlt͡ʃɯɡ
1708	Azerbaijani	sand	g u m	ɡum
1709	Azerbaijani	human	ɑ d ɑ m	ɑdɑm
1710	Azerbaijani	human	ɪ n s ɑ n	ɪnsɑn
1711	Azerbaijani	child	u ʃ ɑ g	uʃɑɡ
1712	Azerbaijani	boy	ɔ ɣ l ɑ n	ɔɣlɑn
1713	Azerbaijani	girl	g ɯ z	ɡɯz
1714	Azerbaijani	family	ɑ ɪ l æ	ɑɪlæ
1715	Azerbaijani	grandfather	b ɑ b ɑ	bɑbɑ
1716	Azerbaijani	grandmother	n æ n æ	nænæ
1717	Azerbaijani	parents	v ɑ l ɪ d ɛ j n	vɑlɪdɛjn
1718	Azerbaijani	father	ɑ t ɑ	ɑtɑ
1719	Azerbaijani	mother	ɑ n ɑ	ɑnɑ
1720	Azerbaijani	son	ɔ ɣ u l	ɔɣul
1721	Azerbaijani	daughter	g ɯ z	ɡɯz
1722	Azerbaijani	brother	g ɑ r d ɑ ʃ	ɡɑrdɑʃ
1723	Azerbaijani	sister	b ɑ dʒ ɯ	bɑd͡ʒɯ
1724	Azerbaijani	uncle	æ m ɪ	æmɪ
1725	Azerbaijani	uncle	d ɑ j ɯ	dɑjɯ
1726	Azerbaijani	aunt	b ɪ b ɪ	bɪbɪ
1727	Azerbaijani	husband	æ r	ær
1728	Azerbaijani	wife	ɑ r v ɑ d	ɑrvɑd
1729	Azerbaijani	joy	n æ ʃ æ	næʃæ
1730	Azerbaijani	joy	s ɛ v ɪ n dʒ	sɛvɪnd͡ʒ
1731	Azerbaijani	laughter	ɟ y l y ʃ	ɟylyʃ
1732	Azerbaijani	laughter	g æ h g æ h æ	ɡæhɡæhæ
1733	Azerbaijani	happiness	s æ ɑ d æ t	sæɑdæt
1734	Azerbaijani	happiness	χ ɔ ʃ b æ χ t l ɪ k	χɔʃbæχtlɪk
1735	Azerbaijani	grief	g æ m	ɡæm
1736	Azerbaijani	grief	k æ d æ r	kædær
1737	Azerbaijani	wish	ɑ r z u	ɑrzu
1738	Azerbaijani	desire	h æ v æ s	hævæs
1739	Azerbaijani	spirit	r u h	ruh
1740	Azerbaijani	thought	f ɪ k ɪ r	fɪkɪr
1741	Azerbaijani	thought	d y ʃ y n dʒ æ	dyʃynd͡ʒæ
1742	Azerbaijani	memory	χ ɑ t ɪ r	χɑtɪr
1743	Azerbaijani	memory	h ɑ f ɪ z æ	hɑfɪzæ
1744	Azerbaijani	mind	ɑ ɣ ɯ l	ɑɣɯl
1745	Azerbaijani	meaning	m æ n ɑ	mænɑ
1746	Azerbaijani	reason	s æ b æ b	sæbæb
1747	Azerbaijani	truth	h ɑ gː	hɑɡː
1748	Azerbaijani	truth	d ɔ ɣ r u l u g	dɔɣruluɡ
1749	Azerbaijani	talk	s œ h b æ t	sœhbæt
1750	Azerbaijani	talk	g ɔ n u ʃ m ɑ	ɡɔnuʃmɑ
1751	Azerbaijani	fairy tale	n ɑ ɣ ɯ l	nɑɣɯl
1752	Azerbaijani	story	h ɛ k ɑ j æ	hɛkɑjæ
1753	Azerbaijani	message	χ æ b æ r	χæbær
1754	Azerbaijani	news	χ æ b æ r	χæbær
1755	Azerbaijani	news	j ɛ n ɪ l ɪ k	jɛnɪlɪk
1756	Azerbaijani	name	ɑ d	ɑd
1757	Azerbaijani	puzzle	t ɑ p m ɑ dʒ ɑ	tɑpmɑd͡ʒɑ
1758	Azerbaijani	speech	n ɪ t g	nɪtɡ
1759	Azerbaijani	language	d ɪ l	dɪl
1760	Azerbaijani	voice	s æ s	sæs
1761	Azerbaijani	word	s œ z	sœz
1762	Azerbaijani	word	k æ l m æ	kælmæ
1763	Azerbaijani	sign	n ɪ ʃ ɑ n	nɪʃɑn
1764	Azerbaijani	call	tʃ ɯ ɣ ɯ r t ɯ	t͡ʃɯɣɯrtɯ
1765	Azerbaijani	noise	ɟ u r u l t u	ɟurultu
1766	Azerbaijani	sound	s æ s	sæs
1767	Azerbaijani	tone	t ɔ n	tɔn
1768	Azerbaijani	song	m ɑ h n ɯ	mɑhnɯ
1769	Azerbaijani	calm	s ɑ k ɪ t l ɪ k	sɑkɪtlɪk
1770	Azerbaijani	people	χ ɑ l g	χɑlɡ
1771	Azerbaijani	nation	m ɪ lː æ t	mɪlːæt
1772	Azerbaijani	work	ɪ ʃ	ɪʃ
1773	Azerbaijani	work	æ m æ k	æmæk
1774	Azerbaijani	guest	g ɔ n ɑ g	ɡɔnɑɡ
1775	Azerbaijani	guest	m y s ɑ f ɪ r	mysɑfɪr
1776	Azerbaijani	gift	h æ d ɪ jː æ	hædɪjːæ
1777	Azerbaijani	game	ɔ j u n	ɔjun
1778	Azerbaijani	game	t ɑ m ɑ ʃ ɑ	tɑmɑʃɑ
1779	Azerbaijani	company	dʒ æ m ɪ jː ɛ t	d͡ʒæmɪjːɛt
1780	Azerbaijani	help	k œ m æ k	kœmæk
1781	Azerbaijani	help	j ɑ r d ɯ m	jɑrdɯm
1782	Azerbaijani	friend	d ɔ s t	dɔst
